sae_dim,score
2817,0.003601132566791237
3969,0.00159152586419778
698,0.001426063074711818
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
11,0.0
14,0.0
15,0.0
16,0.0
23,0.0
26,0.0
33,0.0
37,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
48,0.0
49,0.0
53,0.0
55,0.0
56,0.0
57,0.0
58,0.0
64,0.0
67,0.0
69,0.0
70,0.0
71,0.0
75,0.0
77,0.0
79,0.0
81,0.0
83,0.0
90,0.0
92,0.0
94,0.0
96,0.0
99,0.0
102,0.0
104,0.0
106,0.0
107,0.0
110,0.0
113,0.0
114,0.0
115,0.0
116,0.0
118,0.0
119,0.0
120,0.0
124,0.0
131,0.0
132,0.0
134,0.0
138,0.0
139,0.0
143,0.0
150,0.0
151,0.0
153,0.0
155,0.0
160,0.0
166,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
178,0.0
179,0.0
185,0.0
187,0.0
189,0.0
191,0.0
193,0.0
194,0.0
196,0.0
200,0.0
201,0.0
202,0.0
203,0.0
205,0.0
206,0.0
208,0.0
213,0.0
216,0.0
223,0.0
224,0.0
225,0.0
228,0.0
229,0.0
233,0.0
234,0.0
236,0.0
238,0.0
240,0.0
242,0.0
243,0.0
244,0.0
245,0.0
247,0.0
248,0.0
251,0.0
255,0.0
259,0.0
263,0.0
264,0.0
266,0.0
268,0.0
269,0.0
271,0.0
273,0.0
276,0.0
277,0.0
278,0.0
281,0.0
282,0.0
284,0.0
287,0.0
290,0.0
292,0.0
293,0.0
295,0.0
296,0.0
297,0.0
299,0.0
300,0.0
301,0.0
307,0.0
309,0.0
313,0.0
315,0.0
317,0.0
319,0.0
321,0.0
322,0.0
326,0.0
328,0.0
332,0.0
333,0.0
336,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
345,0.0
346,0.0
350,0.0
351,0.0
353,0.0
354,0.0
361,0.0
363,0.0
365,0.0
366,0.0
367,0.0
368,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
385,0.0
386,0.0
387,0.0
390,0.0
393,0.0
397,0.0
398,0.0
404,0.0
405,0.0
406,0.0
409,0.0
410,0.0
413,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
427,0.0
428,0.0
430,0.0
432,0.0
437,0.0
440,0.0
441,0.0
443,0.0
445,0.0
447,0.0
451,0.0
462,0.0
464,0.0
466,0.0
467,0.0
468,0.0
470,0.0
471,0.0
473,0.0
477,0.0
480,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
494,0.0
497,0.0
502,0.0
503,0.0
504,0.0
506,0.0
507,0.0
508,0.0
511,0.0
514,0.0
515,0.0
520,0.0
522,0.0
523,0.0
525,0.0
526,0.0
528,0.0
529,0.0
532,0.0
535,0.0
540,0.0
541,0.0
544,0.0
545,0.0
546,0.0
547,0.0
549,0.0
550,0.0
551,0.0
552,0.0
554,0.0
555,0.0
558,0.0
560,0.0
562,0.0
563,0.0
566,0.0
569,0.0
572,0.0
574,0.0
575,0.0
580,0.0
581,0.0
583,0.0
584,0.0
586,0.0
587,0.0
588,0.0
591,0.0
592,0.0
593,0.0
594,0.0
596,0.0
601,0.0
606,0.0
608,0.0
609,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
620,0.0
622,0.0
623,0.0
627,0.0
628,0.0
629,0.0
632,0.0
635,0.0
636,0.0
637,0.0
640,0.0
641,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
652,0.0
654,0.0
655,0.0
656,0.0
657,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
668,0.0
669,0.0
670,0.0
671,0.0
674,0.0
678,0.0
686,0.0
687,0.0
691,0.0
693,0.0
694,0.0
699,0.0
701,0.0
702,0.0
705,0.0
707,0.0
710,0.0
712,0.0
715,0.0
716,0.0
717,0.0
718,0.0
726,0.0
729,0.0
731,0.0
733,0.0
734,0.0
738,0.0
740,0.0
745,0.0
747,0.0
748,0.0
751,0.0
753,0.0
754,0.0
756,0.0
759,0.0
760,0.0
762,0.0
763,0.0
765,0.0
769,0.0
779,0.0
785,0.0
786,0.0
787,0.0
791,0.0
795,0.0
797,0.0
800,0.0
801,0.0
802,0.0
803,0.0
805,0.0
809,0.0
810,0.0
811,0.0
813,0.0
815,0.0
817,0.0
823,0.0
825,0.0
826,0.0
836,0.0
837,0.0
838,0.0
839,0.0
843,0.0
845,0.0
850,0.0
851,0.0
853,0.0
854,0.0
859,0.0
860,0.0
861,0.0
865,0.0
867,0.0
868,0.0
870,0.0
871,0.0
874,0.0
875,0.0
876,0.0
878,0.0
880,0.0
881,0.0
883,0.0
885,0.0
888,0.0
890,0.0
891,0.0
894,0.0
899,0.0
900,0.0
902,0.0
903,0.0
906,0.0
907,0.0
910,0.0
911,0.0
913,0.0
914,0.0
919,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
931,0.0
933,0.0
934,0.0
936,0.0
937,0.0
940,0.0
948,0.0
949,0.0
951,0.0
952,0.0
953,0.0
954,0.0
