sae_dim,score
3388,5.720121993906827
4095,5.326507088949979
3838,4.475510150948617
4026,3.8240789061804854
1903,3.7796048458873748
2509,3.376354047618782
3474,3.2653169126270543
3493,3.1558907980368116
254,3.1310834504592004
1638,2.9559395092682017
1553,2.908959498773561
168,2.9077764407366913
2210,2.9053538606464198
2513,2.7864374491327983
1667,2.779269538587167
2009,2.7642452319922093
4078,2.688013300341231
1962,2.6203155700424143
1114,2.5644958659121966
4076,2.460123092393204
1021,2.4599438244922704
364,2.439083488696778
2516,2.3754869367306513
1053,2.340182401620297
3292,2.309277473175886
1446,2.2647857877357094
2975,2.260497203115017
2150,2.258342932323979
3329,2.2301287914024197
329,2.2098924165985734
3294,2.2001443033586776
3187,2.1918354383440994
1957,2.183211137774615
3714,2.1474157799476425
3164,2.134758096205848
1634,2.1068050413879305
465,2.081579790720094
761,2.081097442691248
930,2.0787425291539874
2438,2.068578408267346
1623,2.05916117084017
2243,2.040544199907523
3647,2.0353488338985635
1453,2.0341794455704
2389,2.029986660827906
2599,1.9898410206200312
61,1.9830880145473997
455,1.981360939566607
2816,1.9442981176568261
3516,1.9438952310130322
3670,1.93626532047144
2217,1.9358625135092966
1740,1.8970670592063597
1476,1.8898187704517897
2611,1.8810221141623047
355,1.8658158808101981
3619,1.8388558301505924
3956,1.812026433421289
3567,1.8104335662971784
2287,1.7689492972469687
944,1.7670591436919778
3327,1.755152309935607
1040,1.735224482781632
1010,1.734045730272415
1876,1.7334454376745743
3209,1.7232525661216107
2564,1.7152321702921
3975,1.7066560614283255
3253,1.6912828233077957
3722,1.6774383583834935
1104,1.6744258528625293
2749,1.658280568674605
3159,1.6570322362607113
438,1.6458122183033985
3452,1.6270770282473057
2799,1.6026852204084145
1951,1.5993426193138771
1850,1.595650148817049
3263,1.5730423520645838
807,1.5688402636619672
35,1.5470559727419715
3285,1.5314928575444393
2146,1.5197324368067686
1415,1.514043217034631
852,1.508044111530921
3689,1.507004176727004
1790,1.5015475756679475
3441,1.496731656097924
3732,1.4914966077052325
1756,1.4758033958162817
38,1.4670107145087738
2467,1.4645432246973824
2708,1.461789035859741
2947,1.4552549817114004
3245,1.4527836342455722
1979,1.4349929451716656
1611,1.4235310475556304
2529,1.4193756743719006
3446,1.4156723115877756
3029,1.4103084200633829
1134,1.3823108175220487
288,1.3558857434561888
1668,1.354892712385253
140,1.347834698827423
2923,1.3477264792104455
2875,1.3362914424446735
746,1.3341931362481376
86,1.3327465277168584
2515,1.317672342308347
2129,1.3145792831017107
1680,1.2870952987338566
1734,1.2822603913400124
383,1.2679416923479203
1866,1.256022132451549
2794,1.249031576024815
2166,1.2471927158953822
1009,1.239704398631979
2103,1.230750554147138
3006,1.2298083285759958
2062,1.2142486962799424
1355,1.2114555887614544
1343,1.2037113826979366
3283,1.1702309336830847
4028,1.1583493833774647
252,1.155420830683418
2378,1.15346976557748
3383,1.1442846664047304
879,1.1420750281514032
689,1.1392689864817909
444,1.1323412421532821
651,1.117029902011445
590,1.1114876338315822
1234,1.1052475045874486
3641,1.0826102365927064
1599,1.0672541194135081
39,1.0540701031072182
3550,1.0469119399990037
2734,1.0287839506797831
1714,1.0285964635003038
2046,1.0276369885693506
901,1.0267074744557443
1728,1.0261073562692946
3599,1.0220213824403193
105,1.0167900399961618
4003,1.0150336340228054
1001,1.0130051355154333
29,1.0075497068489776
