sae_dim,z_score
3388,0.7771071743030674
4095,0.746694579130565
3838,0.5987039030148551
4026,0.5857758369106222
1903,0.5076739450466847
431,0.5005988317129788
3164,0.49116760881294147
3474,0.4771284526911474
1553,0.46767292782351666
1114,0.4670121671460706
2509,0.4612715775508837
1053,0.44097053631931793
930,0.44031448172137233
2210,0.4284984923770838
4003,0.42630747076672604
254,0.4234247525339258
1638,0.4190467392463487
1453,0.4166389438456445
2166,0.3934255987457276
3253,0.39137514340945045
3099,0.3911746183190025
1740,0.3779895419618342
2749,0.3680641886785117
1021,0.3624909131581632
12,0.35876488302591564
1957,0.35867672933422534
2516,0.35801155781276656
2947,0.35680537446749494
3187,0.35573082869878936
852,0.3501229047250968
1979,0.3499293341076273
1876,0.34876522832360435
2513,0.34170213630830465
465,0.3406727791086198
2564,0.3389892516769898
1634,0.3356293361418972
1976,0.32217739173461346
2734,0.32198081594061245
3327,0.3212250091207165
3722,0.3164030114166589
1667,0.314964265529207
2009,0.3078458442481399
2467,0.30630246280287626
168,0.3050606307605612
3493,0.30423922197840386
2599,0.3040564867401921
2287,0.3036037903614065
1790,0.2961315920697223
4078,0.2928634663910699
2799,0.29001524692622155
1415,0.28963643160626484
3329,0.2864072142947112
38,0.28610333508029057
1850,0.2779514402157569
1105,0.27561055349329394
3292,0.2730299188479961
288,0.27148848707060874
329,0.26780878354963095
3209,0.2675323785344742
2217,0.26640683446528934
364,0.2626310532722303
3670,0.2624153163638554
355,0.26234642563977933
2103,0.25659447978115135
3159,0.25588801567012964
327,0.24976850281726382
1599,0.24966292030229315
1322,0.24827108678626586
3383,0.24790627363758783
2985,0.24555572875242726
995,0.2455357897822695
780,0.244807653566078
1951,0.24106442872179076
2953,0.23129846761079245
946,0.23005352678142543
3849,0.22929255159637774
3249,0.22551327302597524
1195,0.22530870085904814
2438,0.22310072705276127
3395,0.21859630834207716
3441,0.21616296742939559
3516,0.21416492857000033
3599,0.21393115262422704
775,0.20920524272053004
1446,0.20642060357290468
2695,0.20508233305059745
1941,0.20339927012578563
2441,0.20288360699028182
3363,0.20051409391501593
3956,0.19912301981122849
944,0.19760271168722213
435,0.19724290141192086
265,0.19563068994283786
3732,0.19386286420620708
602,0.1937333740170853
2360,0.19085910136417789
761,0.19066939853737713
790,0.19061292103168723
2875,0.18780682493479417
590,0.1868415201554814
2708,0.1828279601073363
901,0.1819621725426218
61,0.18169679397912564
1734,0.1815487535162258
36,0.1796573935886764
2998,0.17921545429797964
1010,0.1779441477648508
2146,0.1759981444981533
2733,0.1758903541883816
1040,0.17572358675258895
3641,0.17039984990304463
2275,0.17037783347248955
3076,0.16930834043830714
2269,0.16755295060825504
455,0.16689499578219688
1623,0.16627940336241678
29,0.16550040315893333
2611,0.1652515987261733
3241,0.164827357225734
1476,0.1647128300636122
2529,0.16370054861371539
1962,0.16277939304323166
1104,0.1618315601949306
331,0.16167606768436704
4076,0.1611570665216143
2834,0.16046471680938726
1714,0.15947610061829293
3751,0.1583198705199368
1106,0.1581479739432913
651,0.1548481448911973
2056,0.1538293486915157
2816,0.15360628764433862
2787,0.1527715771187404
2389,0.15271644324076813
2670,0.15192542360862224
3726,0.1516422804713447
429,0.15099233467680961
2183,0.15094278437608702
3283,0.1450513021251908
2190,0.14430946416963894
3714,0.14396010396959952
3595,0.1438907508742845
3245,0.14322765024692066
1611,0.14293436980264063
3567,0.14232033905291336
2923,0.1385279389349775
3647,0.13692809886737387
186,0.13570879890759072
3728,0.13085662855569624
531,0.13085188341457124
1009,0.1306456160563977
3975,0.12915239116677654
689,0.12842875616464072
3033,0.12750957570594348
3039,0.1271797850384923
3978,0.12704154002446164
807,0.1265426631932915
2514,0.12574028222816191
1680,0.12543428833865583
3263,0.12537771361969083
35,0.12430315466327549
457,0.12337711109354477
3267,0.12192497319563937
3316,0.12126271742448316
3294,0.1201102960728695
1820,0.1189896403162581
2909,0.1189896381167453
600,0.11898963796916351
2578,0.11898963774046982
1448,0.11898963694899525
3979,0.11808157832203833
1111,0.11746269537288719
1526,0.1149402638024312
148,0.11361077904382286
66,0.1119949462696436
844,0.11018128071599512
698,0.1095259001102179
2975,0.10882888683800318
3487,0.10818605383014002
3217,0.1080759945594412
2730,0.10543691449745611
2152,0.10526321631533009
1343,0.10479469627647664
2830,0.10409223770747338
2966,0.10362700772095787
3006,0.10332596449775915
2794,0.10321346311553418
2431,0.10263160869728523
556,0.10256082951102419
1756,0.10209850987620461
1315,0.10034579810123526
2317,0.10025200587491867
2613,0.10022680111413955
1238,0.10006298330170967
258,0.09990844163733564
1684,0.09924095047332453
2893,0.09890874588925078
1355,0.09798078302411214
463,0.0968857148093167
1179,0.09597986021104557
708,0.09580394430307279
2596,0.09578225882870502
444,0.0953309776883868
1512,0.09522867395672456
2511,0.09503529240390703
2433,0.09371681973446974
3029,0.0922768061140978
746,0.09203540110035555
1262,0.0911847177828718
3640,0.08596278106794585
2145,0.08568873861726128
3622,0.08443573753885113
89,0.08402646079895197
993,0.08266779988558472
3285,0.08070125294000981
2808,0.0796624711591358
3434,0.07950933570901857
3973,0.07832140612813338
2652,0.07688258664165196
2046,0.07638941622305258
2331,0.07563715088570604
3302,0.07547330561043405
1197,0.07268562283631606
1949,0.0726854665570407
2464,0.07268052051445155
3872,0.07266231516154738
1475,0.07263480210451063
4030,0.07245197860123402
1676,0.07221414572175686
126,0.07198527758203169
567,0.0718748542256
1478,0.07183619681571013
822,0.07050847672015832
2304,0.07005384191596892
21,0.06904075098959943
3645,0.06789029761592498
1582,0.06784583478417337
1596,0.06774943083046207
3462,0.06774942983104223
358,0.06774942961446431
1911,0.06774942956215285
2368,0.06774942924960795
1286,0.06774942908787777
1342,0.06774942901400524
3268,0.06774942883257559
3125,0.06774942870226103
4032,0.06774942868136466
1487,0.06774942838729561
677,0.06774942811577928
2172,0.06774942789848395
1571,0.06774942787428362
1336,0.06774942785791502
1174,0.06774942753629215
3884,0.06774942746234078
2012,0.06774942743155815
3060,0.06774942711195966
3445,0.06774942710736079
335,0.06774942678532023
2860,0.06774942653525606
1366,0.06742832778697525
2767,0.06730182856514737
2150,0.06691026005942127
2062,0.06598972053199834
3212,0.06546188801024048
3182,0.06510568429888708
3536,0.06262633413441952
2629,0.06259119295773867
1958,0.06211113788927306
3619,0.061324789276572644
3393,0.061286791665538874
1132,0.06114439600108509
3097,0.06094345502593348
2792,0.05872158509244
3697,0.05773870910858633
570,0.0573645867770024
1306,0.05636440520585462
1770,0.05550290947944998
4093,0.05414707840498404
3668,0.053932425849959456
1085,0.05263054079508005
905,0.05194105302919696
1266,0.051441302685130676
1761,0.051240211551531724
824,0.05124021150154031
18,0.05124021106559773
721,0.051240210843433075
1964,0.05124021057653998
1492,0.05124021057373087
3354,0.051240210396474285
500,0.05124021027048745
2698,0.05124021026918085
744,0.05124021006370444
1102,0.0512402100268752
2761,0.051240209827982074
1594,0.05124020978691261
3781,0.05124020963564503
939,0.05124020963516908
2115,0.05124020950051621
294,0.051240209436998176
2968,0.05124020937310682
2021,0.05124020932806678
3038,0.051240209308373405
557,0.051240209277804184
3219,0.051240209255550416
2779,0.05124020918597647
2,0.05124020915933303
1511,0.051240209106117464
2471,0.051240209101255776
1410,0.05124020906624989
3495,0.05124020904516182
3415,0.051240208903602036
1563,0.051240208810577434
1491,0.051240208664370734
459,0.04852644175462821
2378,0.04775089301400161
2831,0.04768155495627609
3211,0.04735048012759851
542,0.04710219715768757
105,0.046518426381699826
752,0.04564550410499645
2533,0.04564550279632084
314,0.045489104456371374
1568,0.044873968035796526
311,0.044470596324523694
1203,0.04406723660371348
3448,0.04391102878313399
438,0.04357358396904683
101,0.04353214423447375
509,0.04209646189696248
1248,0.04141251299212249
304,0.0413031584124675
1643,0.03869375538720009
211,0.03865889087986
2281,0.03856075584112821
3823,0.03655443329168413
3920,0.035056586043665086
1728,0.03490722834170361
1134,0.033835350564714685
2500,0.03341259982361369
3106,0.032559677082780375
2588,0.03198742964333917
3689,0.031081411341748237
804,0.029636461040144908
879,0.027085259173896824
252,0.026991009963770456
1308,0.02610039018881578
1310,0.025967390355741693
1554,0.025718732235824254
19,0.025272818349177294
3080,0.025225907674675974
2541,0.024514865961558115
1194,0.023317532777487552
3507,0.022997494202630364
2429,0.022826207464477808
1062,0.022770042550098978
3876,0.02219100832075379
1617,0.022120379289454345
3916,0.022103924914765934
1444,0.021944837108713915
4001,0.021913306065052738
1139,0.02152025053563939
1497,0.020759772456319263
3400,0.01698397920881019
3517,0.016939088011735225
690,0.0163867026367604
3564,0.01627873719893782
1234,0.0150085642964165
1621,0.014828034460367822
498,0.013978646107214115
1078,0.012679454251081343
519,0.012546454512840846
2335,0.01254645445480688
3961,0.011811916426806759
3247,0.011385021352943364
471,0.011308701566220901
2006,0.010827949602653913
672,0.010577358778408144
219,0.009589723789697935
316,0.008281516256651389
2243,0.00825115349838132
3154,0.005964854212827154
908,0.005239622038995367
2439,0.005150549138350397
832,0.003953231933606182
2685,0.003593500239049586
2585,0.00031243493082166643
0,0.0
1,0.0
